,Column1,Column2,Column3,Year,Name,Time
Event,Year,Name,Time,,,
100m,Class 4A,,,,,
100m,2024,"Iren Derricks, Emerald Ridge 9",12.23,,,
100m,2023,"Jana Willems, Glacier Peak 12",12.30,,,
100m,2022,"Esther Akinlosotu, Federal Way 12",11.96,,,
100m,2021,No meet,,,,
100m,2020,No meet,,,,
100m,2019,"Aliya Wilson, Tahoma 12",12.13,,,
100m,2018,"Aliya Wilson, Tahoma 11",11.96,,,
100m,2017,"Aliya Wilson, Tahoma 10",11.55,,,
100m,2016,"Angela Cardon, Pasco 12",12.36,,,
100m,2015,"Anna Rodgers, Lewis & Clark 9",12.13,,,
100m,2014,"Hannah Cunliffe, Federal Way 12",11.96,,,
100m,2013,"Kennadi Bouyer, Curtis 12",11.96,,,
100m,2012,"Kennadi Bouyer, Curtis 11",12.10,,,
100m,2011,"Holly DeHart, Kentwood 12",11.97,,,
100m,2010,"Kishia Mitchell, Rogers (Puyallup) 12",12.50,,,
100m,2009,"Andrea Geubelle, Curtis 12",11.87w,,,
100m,2008,"Bianca Greene, Garfield 12",12.01,,,
100m,2007,"Chanel James, Wilson 12",12.15,,,
100m,2006,"Chanel James, Wilson 11",11.89,,,
100m,2005,"Princess Joy Griffey, Decatur 11",11.79,,,
100m,2004,"Princess Joy Griffey, Decatur 10",12.04,,,
100m,2003,"LaShawnda Porter, Kent-Meridian 11",12.25,,,
100m,2002,"Angel Davis, Wilson 12",12.30,,,
100m,2001,"Heather Hetzer, Kamiak",12.22,,,
100m,2000,"Bree Skinner, Pasco",12.19,,,
100m,1999,"Emily Autrey, Kamiakin",12.20,,,
100m,1998,"Emily Autrey, Kamiakin",12.25,,,
100m,1997,"Candace Young, Garfield",12.20,,,
100m,1996,"Candace Young, Garfield",12.00,,,
100m,1995,"Fran Green, Kamiakin",11.93,,,
100m,1994,"Marzette Penton, Lincoln",12.04,,,
100m,1993,"Fran Green, Kamiakin",12.25,,,
100m,1992,"Danielle Marshall, Lake Washington",11.61,,,
100m,1991,"Danielle Marshall, Lake Washington",11.88,,,
100m,1990,"Danielle Marshall, Lake Washington",11.89,,,
100m,1989,"Camara Jones, Mountain View",12.27,,,
100m,1988,"Joyce Rainwater, Kentwood",12.15,,,
100m,1987,"Keryn Shines, Rogers-Spo",12.37,,,
100m,1986,"Joyce Schweim, Puyallup",12.23,,,
100m,1985,"Stefanie Hunter, Fort Vancouver",11.95,,,
100m,1984,"Stefanie Hunter, Fort Vancouver",12.03,,,
100m,1983,"Camerson Talton, Davis",12.17,,,
100m,1982,"Donna Dennis, Clover Park",11.98,,,
100m,1981,"Donna Dennis, Clover Park",12.03,,,
100m,1980,"Donna Dennis, Clover Park",12.2,,,
100m,100 yards,,,,,
100m,1979,"Asa Pennington, Roosevelt",11.02,,,
100m,1978,"Asa Pennington, Roosevelt",10.8,,,
100m,1977,"Debbie Adams, Roosevelt",10.7,,,
100m,1976,"Debbie Adams, Roosevelt",11.0,,,
100m,1975,"Linda Jones, Lakes",10.8,,,
100m,1974,"Linda Jones, Lakes",11.4,,,
100m,1973,"Lisa Johnson, Nathan Hale",11.0,,,
100m,1972,"Pam Riggs, Mountlake Terrace",11.0,,,
100m,1971,"Pam Riggs, Mountlake Terrace",11.2,,,
100m,1970,"Marda McGlenny, Walla Walla",11.5,,,
100m,1969,"Joi Perala, West Valley-Yak",11.2,,,
100m,Class 3A,,,,,
100m,2024,"Ashlyn Nielsen, Walla Walla 12",12.27,,,
100m,2023,"Alex Buck, Bellevue 11",12.12,,,
100m,2022,"Alex Buck, Bellevue 10",11.97,,,
100m,2021,No meet,,,,
100m,2020,No meet,,,,
100m,2019,"Katherine Petsch, Kamiakin",12.40,,,
100m,2018,"Carlee Sams, Kelso 12",12.21,,,
100m,2017,"Aisha Watt, Seattle Prep 10",12.18w,,,
100m,2016,"Assa Kaba, Chief Sealth 12",12.58,,,
100m,2015,"Ariell Garnett, Kennedy Catholic 11",12.29,,,
100m,2014,"Ngozi Musa, Holy Names 11",12.14,,,
100m,2013,"Ellie Heiden, Kamiakin 11",12.17,,,
100m,2012,"Alanna Coker, Juanita 12",12.19,,,
100m,2011,"Chantel Jaeger, West Valley (Yak) 12",12.25,,,
100m,2010,"Germe Poston, Franklin Pierce 12",12.56w,,,
100m,2009,"Germe Poston, Franklin Pierce 11",11.63w,,,
100m,2008,"Morgan Clem, Eastmont 12",11.90,,,
100m,2007,"Morgan Clem, Eastmont 11",12.45,,,
100m,2006,"Angela Jensen, Fife 11",12.24,,,
100m,2005,"Jaqua Williams, Rainier Beach 12",12.51,,,
100m,2004,"Jaqua Williams, Rainier Beach 11",12.29,,,
100m,2003,"Jaqua Williams, Rainier Beach 10",12.64,,,
100m,2002,"Ginnie Powell, Rainier Beach 12",11.88,,,
100m,2001,"Janae Young, River Ridge",11.79,,,
100m,2000,"Ginnie Powell, Rainier Beach 10",12.01,,,
100m,1999,"Ginnie Powell, Rainier Beach 9",12.38,,,
100m,1998,"Lindsey Smith, Holy Names",12.42,,,
100m,1997,"Alex Allen, Blanchet",12.51,,,
100m,1996,"Jessika Lee, Meadowdale",12.62,,,
100m,1995,"Kelly Williams, Renton",12.48,,,
100m,1994,"Candace Young, Garfield",12.3,,,
100m,1993,"Azure Thompson, Garfield",12.3,,,
100m,1992,"Jamila Godfrey, Lakeside",12.36,,,
100m,1991,"Jamila Godfrey, Lakeside",12.47,,,
100m,1990,"Cheryl Taplin, Cleveland",11.94,,,
100m,1989,"Cheryl Taplin, Cleveland",12.12,,,
100m,1988,"Cheryl Taplin, Cleveland",12.15,,,
100m,1987,"Cheryl Taplin, Cleveland",12.39,,,
100m,1986,"Shannon O’Neill, Bellingham",12.33,,,
100m,1985,"Freda Everett, Rainier Beach",12.06,,,
100m,1984,"Lori Grillo, Burlington",12.27,,,
100m,1983,"Lori Grillo, Burlington",12.48,,,
100m,1982,"Lori Grillo, Burlington",12.32,,,
100m,1981,"Ericka Harris, Gig Harbor",11.8,,,
100m,1980,"Ericka Harris, Gig Harbor",12.34,,,
100m,100 yards,,,,,
100m,1979,"Paula James, Lake Stevens",11.3,,,
100m,1978,"Paula James, Lake Stevens",11.2,,,
100m,1977,"Deanna Taplin, Mt. Vernon",11.4,,,
100m,1976,"Kathy Dropalski, Centralia",11.4,,,
100m,1975,"Jana Olson, Washington",11.6,,,
100m,Class 2A,,,,,
100m,2024,"Sofia Calabretta, Bellingham 12",12.15,,,
100m,2023,"Ellabelle Taylor, Rogers-Spo 12",12.46,,,
100m,2022,"Chayse Flick-Williams, Bellingham 10",12.34,,,
100m,2021,No meet,,,,
100m,2020,No meet,,,,
100m,2019,"Antoinette Stubbfield, Sammamish 9",12.21,,,
100m,2018,"Faith Richardson, Renton 10",11.95,,,
100m,2017,"Julia Stepper, Woodland 12",11.89w,,,
100m,2016,"Wurrie Njadoe, Shorecrest 12",12.17,,,
100m,2015,"Wurrie Njadoe, Shorecrest 11",12.06,,,
100m,2014,"Alyssa Porter, Belleinham 12",12.28,,,
100m,2013,"Alyssa Porter, Bellingham 11",12.42,,,
100m,2012,"Cherish Morrison, Blaine 12",12.23,,,
100m,2011,"Necy Wade, River Ridge 11",12.44,,,
100m,2010,"Cherish Morrison, Blaine 10",12.54,,,
100m,2009,"Cherish Morrison, Blaine 9",12.32w,,,
100m,2008,"Alex Davidson, Steilacoom 11",12.25w,,,
100m,2007,"Angela Jensen, Fife 12",12.24,,,
100m,2006,"Whitney Leavitt, Kiona-Benton 9",12.72,,,
100m,2005,"Krystal Deyo, Castle Rock 9",12.37,,,
100m,2004,"Krystal Deyo, Castle Rock 10",12.8h,,,
100m,2003,"Taquea Davidson, Steilacoom 12",12.93,,,
100m,2002,"Taquea Davidson, Steilacoom 11",12.54,,,
100m,2001,"Mary Ann Graves, White Salmon",12.62,,,
100m,2000,"Ann Sullivan, Omak",13.15,,,
100m,1999,"Ann Sullivan, Omak",12.21w,,,
100m,1998,"Alexis Yeater, Steilacoom",11.95,,,
100m,Class 1A,,,,,
100m,2024,,,,,
100m,2023,"Braelyn Baker, Bear Creek 11",11.92,,,
100m,2022,"Braelyn Baker, Bear Creek 10",12.39,,,
100m,2021,No meet,,,,
100m,2020,No meet,,,,
100m,2019,"Alma Manzo, Connell 12",12.44,,,
100m,2018,"Harlow Brumett-Dunn, Seattle Academy 10",12.34,,,
100m,2017,"Lexi Rolan, Medical Lake 12",12.27,,,
100m,2016,"Lexi Rolan, Medical Lake 11",12.46,,,
100m,2015,"Abi Kim, Seattle Christian 11",12.77,,,
100m,2014,"Abi Kim, Seattle Christian 10",12.31,,,
100m,2013,"Abi Kim, Seattle Christian 9",12.68,,,
100m,2012,"Karlie Storkson, King's 12",12.66,,,
100m,2011,"Kirsten Larsen, White Salmon 12",13.00,,,
100m,2010,"Alicia Wolf, Meridian 11",13.12,,,
100m,2009,"Whitney Leavitt, Kiona-Benton 12",13.05,,,
100m,2008,"Whitney Leavitt, Kiona-Benton 11",12.11w,,,
100m,2007,"Whitney Leavitt, Kiona-Benton 10",12.79,,,
100m,2006,"Kelsey Sutherland, Cascade Christian 12",12.65,,,
100m,2005,"Kelsey Sutherland, Cascade Christian 11",12.93,,,
100m,2004,"Katherine Reynolds, University Prep 10",12.82,,,
100m,2003,"Katherine Reynolds, University Prep 9",12.82,,,
100m,2002,"Terran Legard, Burbank 12",12.76,,,
100m,2001,"Jamie Grubbs, Lake Roosevelt",13.30,,,
100m,2000,"Michelle Appel, Colfax",13.21,,,
100m,1999,"Mary Ann Graves, White Salmon",12.55,,,
100m,1998,"Holly Plumlee, LaCenter",12.66,,,
100m,1997,"LaShaunda Fowler, Foster",12.13,,,
100m,1996,"LaShaunda Fowler, Foster",11.92,,,
100m,1995,"LaShaunda Fowler, Foster",12.36,,,
100m,1994,"LaShaunda Fowler, Foster",12.39,,,
100m,1993,"Heidi Shultz, White Salmon",12.10,,,
100m,1992,"Heidi Shultz, White Salmon",12.60,,,
100m,1991,"Heidi Shultz, White Salmon",12.10,,,
100m,1990,"Heidi Shultz, White Salmon",12.20,,,
100m,1989,"Heidi Bodwell, Ocosta",12.40,,,
100m,1988,"Kris Gilmore, Naches",12.20,,,
100m,1987,"Sherri Johnson, Foster",12.60,,,
100m,1986,"Katherine Herr, Winlock",12.50,,,
100m,1985,"Cheryl Siegmann, Ilwaco",12.20,,,
100m,1984,"Melissa Landreth, Mt. Baker",12.20,,,
100m,1983,"Cheryl Siegmann, Ilwaco",12.00,,,
100m,1982,"Debbie Hyder, Blaine",12.60,,,
100m,1981,"Sandy Heinrich, Riverside",12.10,,,
100m,1980,"Sandy Heinrich, Riverside",12.40,,,
100m,100 yards,,,,,
100m,1979,"Sarah Level, Port Townsend",10.78w,,,
100m,1978,"Sarah Level, Port Townsend",11.00,,,
100m,1977,"Sarah Level, Port Townsend",11.20,,,
100m,1976,"Sarah Level, Port Townsend",11.20,,,
100m,1975,"Tracy Tuholsky, Washougal",11.50,,,
100m,1974,"Lisa Sorrell, Tenino",11.40,,,
100m,1973,"Debbie Agranoff, Ephrata",11.60,,,
100m,Class 2B,,,,,
100m,2024,,,,,
100m,2023,"Aleena Lafferty, Okanogan 11",12.79,,,
100m,2022,"Jordan Koetje, Morton-White Pass 12",12.60,,,
100m,2021,No meet,,,,
100m,2020,No meet,,,,
100m,2019,"Lorin Cox, North Beach 11",12.91,,,
100m,2018,"Ashley Sande, St. George's 12",12.92,,,
100m,2017,"Emma Lee, La Conner 11",12.85,,,
100m,2016,"Grace Hamre, Napavine 12",12.78,,,
100m,2015,"Regyn Gaffney, Adna 12",12.46,,,
100m,2014,"Regyn Gaffney, Adna 11",12.10,,,
100m,2013,"Regyn Gaffney, Adna 10",12.57,,,
100m,2012,"Regyn Gaffney, Adna 9",12.60,,,
100m,2011,"Shawna Mouser, White Pass 12",12.98,,,
100m,2010,"Grace Garguile, Crosspoint 9",13.42,,,
100m,2009,"Jasmine Bingham, Wahkiakum 12",12.91,,,
100m,2008,"Amber Finley, Tacoma Baptist 12",12.58,,,
100m,2007,"Kimi Pohlman, Bear Creek School 11",13.00,,,
100m,2006,"Kimi Pohlman, Bear Creek School 10",12.79,,,
100m,2005,"Kelsey Dunne, Adna 12",12.71,,,
100m,2004,"Kristen Dormaier, Almira-Coulee-Hart 12",13.18,,,
100m,2003,"Jamie Orange, Mt Vernon Christian 12",13.29,,,
100m,2002,"Kristen Dormaier, Almira-Coulee-Hart 10",12.88,,,
100m,2001,"Jamie Orange, Mt Vernon Christian 10",13.21,,,
